date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:19	124336/124336	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-1e5b0%22	http://findmatthew.com/img/slides/roambi-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/roambi-1.jpg	(from http://findmatthew.com/)
10:31:25	79838/79838	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-137de%22	http://findmatthew.com/img/slides/roambi-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/roambi-2.jpg	(from http://findmatthew.com/)
10:31:30	282769/282769	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-45091%22	http://findmatthew.com/img/slides/powur-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/powur-1.jpg	(from http://findmatthew.com/)
10:31:35	55212/55212	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-d7ac%22	http://findmatthew.com/img/slides/themall-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/themall-2.jpg	(from http://findmatthew.com/)
10:31:39	119836/119836	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-1d41c%22	http://findmatthew.com/img/slides/themall-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/themall-1.jpg	(from http://findmatthew.com/)
10:31:39	59850/59850	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-e9ca%22	http://findmatthew.com/img/slides/walker-0.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/walker-0.jpg	(from http://findmatthew.com/)
10:31:42	2057/2057	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-809%22	http://findmatthew.com/scripts/canvas.js	C:/My%20Web%20Sites/test2/findmatthew.com/scripts/canvas.js	(from http://findmatthew.com/)
10:31:44	173662/173662	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-2a65e%22	http://findmatthew.com/img/slides/themall-0.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/themall-0.jpg	(from http://findmatthew.com/)
10:31:48	57249/57249	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-dfa1%22	http://findmatthew.com/img/slides/walker-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/walker-2.jpg	(from http://findmatthew.com/)
10:31:49	87638/87638	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-15656%22	http://findmatthew.com/img/slides/walker-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/walker-1.jpg	(from http://findmatthew.com/)
10:32:00	222712/222712	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e3351db-365f8%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.eot?v=1.5.54	C:/My%20Web%20Sites/test2/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.eot	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
10:32:01	85332/85332	---M--	200	added ('OK')	font/woff2	etag:%225e3351db-14d54%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff2?v=1.5.54	C:/My%20Web%20Sites/test2/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff2	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
10:32:02	222712/222712	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e3351db-365f8%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.eot?	C:/My%20Web%20Sites/test2/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfontd41d.eot	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
10:32:04	110196/110196	---M--	200	added ('OK')	font/woff	etag:%225e3351db-1ae74%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff?v=1.5.54	C:/My%20Web%20Sites/test2/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
10:32:17	1687945/1687945	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e3351db-19c189%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.svg?v=1.5.54	C:/My%20Web%20Sites/test2/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.svg	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
10:32:23	178520/178520	---MCZ	200	added ('OK')	font/ttf	etag:W/%225e3351db-2b958%22	http://findmatthew.com/fonts/Raleway-Regular.ttf	C:/My%20Web%20Sites/test2/findmatthew.com/fonts/Raleway-Regular.ttf	(from http://findmatthew.com/style/style.css)
10:32:23	222492/222492	---MCZ	200	added ('OK')	font/ttf	etag:W/%225e3351db-3651c%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.ttf?v=1.5.54	C:/My%20Web%20Sites/test2/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.ttf	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
10:32:23	180492/180492	---MCZ	200	added ('OK')	font/ttf	etag:W/%225e3351db-2c10c%22	http://findmatthew.com/fonts/Raleway-SemiBold.ttf	C:/My%20Web%20Sites/test2/findmatthew.com/fonts/Raleway-SemiBold.ttf	(from http://findmatthew.com/style/style.css)
10:32:25	179244/179244	---MCZ	200	added ('OK')	font/ttf	etag:W/%225e3351db-2bc2c%22	http://findmatthew.com/fonts/Raleway-Bold.ttf	C:/My%20Web%20Sites/test2/findmatthew.com/fonts/Raleway-Bold.ttf	(from http://findmatthew.com/style/style.css)
10:32:33	43703/43703	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-aab7%22	http://findmatthew.com/img/thumb-7.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/thumb-7.jpg	(from http://findmatthew.com/style/style.css)
10:32:33	28201/28201	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-6e29%22	http://findmatthew.com/img/thumb-8.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/thumb-8.jpg	(from http://findmatthew.com/style/style.css)
10:32:34	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225d322362-247b%22	http://findmatthew.com/img/thumb-10.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/thumb-10.3f.delayed	(from http://findmatthew.com/style/style.css)
10:32:35	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225d322362-247b%22	http://findmatthew.com/img/thumb-11.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/thumb-11.40.delayed	(from http://findmatthew.com/style/style.css)
10:32:36	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c41b5c8-247b%22	http://findmatthew.com/img/thumb-12.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/thumb-12.41.delayed	(from http://findmatthew.com/style/style.css)
10:32:36	45331/45331	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-b113%22	http://findmatthew.com/img/thumb-9.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/thumb-9.jpg	(from http://findmatthew.com/style/style.css)
10:32:50	491716/491716	---M--	200	added ('OK')	image/png	etag:%225e3351db-780c4%22	http://findmatthew.com/img/filler.png	C:/My%20Web%20Sites/test2/findmatthew.com/img/filler.png	(from http://findmatthew.com/style/style.css)
